cohort,pos,line,treatment,kd_time,kd_temp,sex,line_date,HS_date
0,01,H1,static,09:20,39,,2018-05-21,2018-06-12
0,02,C2,static,00:00,39,,2018-05-21,2018-06-12
0,03,H2,static,10:00,39,,2018-05-21,2018-06-12
0,04,C1,static,11:00,39,,2018-05-21,2018-06-12
0,05,C2,static,09:06,39,,2018-05-21,2018-06-12
0,06,H1,static,14:10,39,,2018-05-21,2018-06-12
0,07,H2,static,11:40,39,,2018-05-21,2018-06-12
0,08,H1,static,14:31,39,,2018-05-21,2018-06-12
0,09,C2,static,10:30,39,,2018-05-21,2018-06-12
0,10,C1,static,09:40,39,,2018-05-21,2018-06-12
0,11,H2,static,12:00,39,,2018-05-21,2018-06-12
0,12,H2,static,11:50,39,,2018-05-21,2018-06-12
0,13,C2,static,00:00,39,,2018-05-21,2018-06-12
0,14,H1,static,11:30,39,,2018-05-21,2018-06-12
0,01,C2,static,34:54,37,M,2018-05-28,2018-06-13
0,02,C1,static,87:22,37,M,2018-05-28,2018-06-13
0,03,H2,static,95:41,37,F,2018-05-28,2018-06-13
0,04,H2,static,94:19,37,F,2018-05-28,2018-06-13
0,05,C1,static,06:03,37,F,2018-05-28,2018-06-13
0,06,C1,static,92:51,37,M,2018-05-28,2018-06-13
0,07,H1,static,79:30,37,F,2018-05-28,2018-06-13
0,08,C2,static,69:38,37,M,2018-05-28,2018-06-13
0,09,H1,static,63:40,37,F,2018-05-28,2018-06-13
0,10,H2,static,85:45,37,F,2018-05-28,2018-06-13
0,11,C1,static,91:20,37,F,2018-05-28,2018-06-13
0,12,H1,static,59:07,37,F,2018-05-28,2018-06-13
0,13,C2,static,98:24,37,F,2018-05-28,2018-06-13
0,14,H1,static,98:38,37,F,2018-05-28,2018-06-13
0,01,H2,static,39:44,38,M,2018-05-28,2018-06-14
0,02,C1,static,58:32,38,F,2018-05-28,2018-06-14
0,03,C2,static,41:07,38,M,2018-05-28,2018-06-14
0,04,H2,static,60:00,38,F,2018-05-28,2018-06-14
0,05,H1,static,27:02,38,F,2018-05-28,2018-06-14
0,06,C1,static,61:50,38,F,2018-05-28,2018-06-14
0,07,H1,static,28:21,38,F,2018-05-28,2018-06-14
0,08,C2,static,44:10,38,M,2018-05-28,2018-06-14
0,09,H2,static,47:07,38,M,2018-05-28,2018-06-14
0,10,C1,static,29:38,38,M,2018-05-28,2018-06-14
0,11,H1,static,32:30,38,M,2018-05-28,2018-06-14
0,12,H2,static,48:15,38,M,2018-05-28,2018-06-14
0,13,C1,static,37:36,38,M,2018-05-28,2018-06-14
0,14,C2,static,21:21,38,M,2018-05-28,2018-06-14
0,01,C2,static,24:33,38.5,F,2018-06-05,2018-06-15
0,02,H1,static,11:36,38.5,F,2018-06-05,2018-06-15
0,03,C1,static,06:27,38.5,F,2018-06-05,2018-06-15
0,04,H2,static,30:36,38.5,F,2018-06-05,2018-06-15
0,05,H1,static,16:32,38.5,F,2018-06-05,2018-06-15
0,06,C1,static,11:05,38.5,M,2018-06-05,2018-06-15
0,07,C2,static,06:47,38.5,F,2018-06-05,2018-06-15
0,08,H2,static,28:16,38.5,M,2018-06-05,2018-06-15
0,09,C1,static,15:22,38.5,M,2018-06-05,2018-06-15
0,10,C2,static,25:19,38.5,M,2018-06-05,2018-06-15
0,11,H1,static,21:26,38.5,M,2018-06-05,2018-06-15
0,12,C2,static,07:49,38.5,F,2018-06-05,2018-06-15
0,13,H1,static,17:33,38.5,F,2018-06-05,2018-06-15
0,14,H2,static,08:48,38.5,F,2018-06-05,2018-06-15
0,01,H2,fast,39:11,39.1,M,2018-06-05,2018-06-19
0,02,H1,fast,39:22,39.1,M,2018-06-05,2018-06-19
0,03,H2,fast,48:32,39.3,M,2018-06-05,2018-06-19
0,04,C2,fast,32:02,38.9,F,2018-06-05,2018-06-19
0,05,C1,fast,31:30,38.9,M,2018-06-05,2018-06-19
0,06,H1,fast,31:42,38.9,M,2018-06-05,2018-06-19
0,07,C1,fast,36:55,39,M,2018-06-05,2018-06-19
0,08,H2,fast,20:37,38.5,M,2018-06-05,2018-06-19
0,09,C2,fast,37:34,39,M,2018-06-05,2018-06-19
0,10,H1,fast,46:29,39.3,F,2018-06-05,2018-06-19
0,11,C1,fast,34:02,38.9,M,2018-06-05,2018-06-19
0,12,C2,fast,41:50,39.1,F,2018-06-05,2018-06-19
0,13,H1,fast,40:37,39.1,F,2018-06-05,2018-06-19
0,14,C1,fast,38:48,39.1,F,2018-06-05,2018-06-19
0,01,H1,static,33:55,37.5,M,2018-06-05,2017-06-20
0,02,C1,static,54:47,37.5,F,2018-06-05,2017-06-20
0,03,H2,static,71:48,37.5,M,2018-06-05,2017-06-20
0,04,C1,static,78:52,37.5,F,2018-06-05,2017-06-20
0,05,C2,static,80:24,37.5,F,2018-06-05,2017-06-20
0,06,C1,static,74:30,37.5,M,2018-06-05,2017-06-20
0,07,H2,static,32:24,37.5,F,2018-06-05,2017-06-20
0,08,C2,static,44:10,37.5,M,2018-06-05,2017-06-20
0,09,H1,static,72:15,37.5,F,2018-06-05,2017-06-20
0,10,C1,static,16:38,37.5,F,2018-06-05,2017-06-20
0,11,H1,static,77:55,37.5,M,2018-06-05,2017-06-20
0,12,H2,static,79:05,37.5,F,2018-06-05,2017-06-20
0,13,C2,static,53:30,37.5,M,2018-06-05,2017-06-20
0,14,H2,static,30:49,37.5,F,2018-06-05,2017-06-20
0,01,C2,slow,160:27,39.5,M,2018-06-05,2017-06-20
0,02,H1,slow,147:20,38.9,F,2018-06-05,2017-06-20
0,03,H2,slow,151:30,39.3,F,2018-06-05,2017-06-20
0,04,H1,slow,160:48,39.5,F,2018-06-05,2017-06-20
0,05,C1,slow,158:58,39.2,M,2018-06-05,2017-06-20
0,06,C2,slow,152:10,39.3,M,2018-06-05,2017-06-20
0,07,C1,slow,161:14,39.5,F,2018-06-05,2017-06-20
0,08,H1,slow,161:14,39.5,F,2018-06-05,2017-06-20
0,09,C2,slow,150:42,39.3,F,2018-06-05,2017-06-20
0,10,H2,slow,157:57,39.2,M,2018-06-05,2017-06-20
0,11,C1,slow,159:46,39.4,F,2018-06-05,2017-06-20
0,12,H2,slow,161:14,39.5,M,2018-06-05,2017-06-20
0,13,C2,slow,101:10,34.4,M,2018-06-05,2017-06-20
0,14,H2,slow,161:14,39.5,M,2018-06-05,2017-06-20
0,01,C2,slow,140:51,38.4,M,2018-06-12,2018-06-21
0,02,H1,slow,152:32,38.5,F,2018-06-12,2018-06-21
0,03,H2,slow,140:23,38.3,M,2018-06-12,2018-06-21
0,04,C2,slow,150:45,38.5,F,2018-06-12,2018-06-21
0,05,C1,slow,154:58,38.5,M,2018-06-12,2018-06-21
0,06,H1,slow,146:13,38.5,M,2018-06-12,2018-06-21
0,07,H2,slow,156:15,38.5,F,2018-06-12,2018-06-21
0,08,C2,slow,145:50,38.5,F,2018-06-12,2018-06-21
0,09,C1,slow,151:28,38.5,F,2018-06-12,2018-06-21
0,10,H2,slow,146:03,38.5,F,2018-06-12,2018-06-21
0,11,H1,slow,141:30,38.4,M,2018-06-12,2018-06-21
